Village,Date,Region,Year,Total Deaths,Latitude,Longitude,Province
"Qutub Khel, near Miram Shah",11/3/2010,North Waziristan,2010,5,33.021332,70.013123,Federally Administered Tribal Areas
"Pai Khel village, in Datta Khel",11/3/2010,North Waziristan,2010,4,32.97987,69.643707,Federally Administered Tribal Areas
"Khaso Khel village, near Mir Ali",11/3/2010,North Waziristan,2010,4,32.962009,70.333786,Federally Administered Tribal Areas
"Moizer town, Datta Khel",11/7/2010,North Waziristan,2010,6,32.98217,69.627914,Federally Administered Tribal Areas
"Ghulam Khan, north of Miram Shah",11/7/2010,North Waziristan,2010,9,33.05817,70.080414,Federally Administered Tribal Areas
"Gulli Khel village, Ghulam Khan, 8 miles from Miram Shah",11/11/2010,North Waziristan,2010,7,33.027664,69.741898,Federally Administered Tribal Areas
"Ahmad Khel, 15 miles west of Miram Shah",11/13/2010,North Waziristan,2010,4,33.006935,69.820518,Federally Administered Tribal Areas
"Ghulam Khan, 20 km north of Miram Shah",11/16/2010,North Waziristan,2010,20,33.106499,70.053635,Federally Administered Tribal Areas
"Naurak, near Marsi Khel village, nine miles east of Miram Shah",11/19/2010,North Waziristan,2010,4,32.985626,70.342026,Federally Administered Tribal Areas
"Khaddi, 10 miles east of Miram Shah",11/21/2010,North Waziristan,2010,9,32.962585,70.276794,Federally Administered Tribal Areas
"Khushali, 15 miles east of Miram Shah",11/22/2010,North Waziristan,2010,6,32.97094,70.349403,Federally Administered Tribal Areas
"Pir Keley, six miles east of Miram Shah",11/26/2010,North Waziristan,2010,4,32.993114,70.196457,Federally Administered Tribal Areas
"Hasan Khel, 30 km east of Miram Shah",11/28/2010,North Waziristan,2010,4,32.984474,70.377045,Federally Administered Tribal Areas
"Khysore village, 20 miles east of Miram Shah",12/6/2010,North Waziristan,2010,7,32.983322,70.405884,Federally Administered Tribal Areas
"Khadar Khel, near Mir Ali",12/10/2010,North Waziristan,2010,4,32.972958,70.400391,Federally Administered Tribal Areas
"Spalga, nine miles south of Miram Shah",12/14/2010,North Waziristan,2010,4,33.033997,70.19989,Federally Administered Tribal Areas
Spin Drand area of the Tirah Valley,12/16/2010,Khyber,2010,7,33.804256,70.736847,Khyber Pakhtunkhwa
"Sippah village, near Spin Drand in the Tirah Valley",12/17/2010,Khyber,2010,32,33.795128,70.768433,Khyber Pakhtunkhwa
"Sandana, Tirah Valley",12/17/2010,Khyber,2010,7,33.790562,70.823364,Khyber Pakhtunkhwa
"Narai Baba, Tirah valley",12/17/2010,Khyber,2010,15,33.756313,70.7547,Khyber Pakhtunkhwa
"Shera Tala area, near Mir Ali",12/27/2010,North Waziristan,2010,21,32.957977,70.379791,Federally Administered Tribal Areas
"Machikhel, Mir Ali",12/27/2010,North Waziristan,2010,6,33.0291,70.2468,Federally Administered Tribal Areas
"Nawab village, in Ghulam Khan area",12/28/2010,North Waziristan,2010,10,33.016724,69.906006,Federally Administered Tribal Areas
"Ghulam Khan, 20 km north of Miram Shah",12/28/2010,North Waziristan,2010,8,33.029388,69.916992,Federally Administered Tribal Areas
"Ghulam Khan, 15km NW of Miram Shah",12/31/2010,North Waziristan,2010,8,33.037449,69.906006,Federally Administered Tribal Areas
"Mandi Khel, near Mir Ali",1/1/2011,North Waziristan,2011,9,33.02824,70.239716,Federally Administered Tribal Areas
"Ghoresti, near Mir Ali",1/1/2011,North Waziristan,2011,5,33.02824,70.236969,Federally Administered Tribal Areas
Boya village in Datta Khel,1/1/2011,North Waziristan,2011,4,32.957977,69.918365,Federally Administered Tribal Areas
"Ghar Laley, 22 miles west of Miram Shah",1/7/2011,North Waziristan,2011,5,32.997147,69.749451,Federally Administered Tribal Areas
"Haiderkhel, 15 miles east of Miram Shah",1/12/2011,North Waziristan,2011,4,33.009815,70.366058,Federally Administered Tribal Areas
"Asar village, 25 miles west of Miram Shah, Datta Khel",1/18/2011,North Waziristan,2011,5,33.004059,69.603882,Federally Administered Tribal Areas
"Doga Mada Khel, near Datta Khel",1/23/2011,North Waziristan,2011,4,32.994843,69.627228,Federally Administered Tribal Areas
"Doga Mada Khel, near Datta Khel",1/23/2011,North Waziristan,2011,3,32.99369,69.624481,Federally Administered Tribal Areas
"Mando Khel, 60km south of Miram Shah near Razmak",1/23/2011,North Waziristan,2011,6,32.691399,69.846954,Federally Administered Tribal Areas
"Kaza Panga village, 10 miles west of Wana",2/20/2011,South Waziristan,2011,8,32.313831,69.422607,Federally Administered Tribal Areas
"Spalga village, 12 miles south of Miram Shah",2/21/2011,North Waziristan,2011,8,33.040901,70.19989,Federally Administered Tribal Areas
"Mohammed Khel, in Danday Darpa Khel",2/24/2011,North Waziristan,2011,5,32.976414,69.643707,Federally Administered Tribal Areas
Ismailkhel,3/8/2011,North Waziristan,2011,5,32.968,69.69,Federally Administered Tribal Areas
"Landidog, 12 miles west of Wama",3/8/2011,South Waziristan,2011,5,32.314991,69.447327,Federally Administered Tribal Areas
"Spinwam village, Khaisor, 30 miles north of Miram Shah",3/11/2011,North Waziristan,2011,6,33.094994,70.276794,Federally Administered Tribal Areas
Ghorski,3/11/2011,North Waziristan,2011,10,33.1347,70.1649,Federally Administered Tribal Areas
"Azam Warsak, 12 miles west of Wana",3/13/2011,South Waziristan,2011,4,32.308025,69.43222,Federally Administered Tribal Areas
"Spalga village, 15km NE of Miram Shah",3/13/2011,North Waziristan,2011,6,33.050114,70.201263,Federally Administered Tribal Areas
"Malik Jashdar, 6 miles east of Miram Shah",3/14/2011,North Waziristan,2011,6,32.999451,70.3125,Federally Administered Tribal Areas
"Datta Khel, 15 miles west of Miram Shah",3/16/2011,North Waziristan,2011,6,33.001755,69.781036,Federally Administered Tribal Areas
"Datta Khel, 15 miles west of Miram Shah",3/17/2011,North Waziristan,2011,45,32.98793,69.763184,Federally Administered Tribal Areas
"Angoor Adda, Bhangar area",4/13/2011,South Waziristan,2011,6,32.512077,69.296265,Federally Administered Tribal Areas
"Spinwam village, Mir Ali",4/22/2011,North Waziristan,2011,29,33.091541,70.274734,Federally Administered Tribal Areas
Datta Khel,5/6/2011,North Waziristan,2011,18,33.012695,69.761124,Federally Administered Tribal Areas
"Baghar area, near Angoor Adda",5/10/2011,South Waziristan,2011,5,32.506866,69.300385,Federally Administered Tribal Areas
Datta Khel,5/12/2011,North Waziristan,2011,8,32.986778,69.697266,Federally Administered Tribal Areas
"Doga Madakhel, 40km west of Miram Shah, in Datta Khel",5/13/2011,North Waziristan,2011,5,33.007511,69.6698,Federally Administered Tribal Areas
Mir Ali,5/16/2011,North Waziristan,2011,6,32.996571,70.351639,Federally Administered Tribal Areas
Mir Ali,5/16/2011,North Waziristan,2011,6,32.995419,70.350266,Federally Administered Tribal Areas
"Tappi area, 10km east of Miram Shah",5/20/2011,North Waziristan,2011,6,33.009525,70.185814,Federally Administered Tribal Areas
"Machikhel, Mir Ali",5/23/2011,North Waziristan,2011,7,32.992538,70.221863,Federally Administered Tribal Areas
"Laman, in Ghwa Khwa and Karikot area, 20km south of Wana",6/3/2011,South Waziristan,2011,12,32.168636,69.576416,Federally Administered Tribal Areas
"Bray Nishtar, 30 miles from Wacha Dana, near North Waziristan border",6/6/2011,South Waziristan,2011,5,32.826519,69.587402,Federally Administered Tribal Areas
"Wana, South Waziristan",6/6/2011,South Waziristan,2011,23,32.346901,69.498138,Federally Administered Tribal Areas
Zawal Narai area of Shawal Tehsil,6/8/2011,North Waziristan,2011,23,32.932625,69.623108,Federally Administered Tribal Areas
Zawal Narai area of Shawal Tehsil,6/8/2011,North Waziristan,2011,4,32.9313,69.6248,Federally Administered Tribal Areas
Wana,6/15/2011,South Waziristan,2011,10,32.306866,69.56543,Federally Administered Tribal Areas
"Tapi, 10 km east of Miram Shah",6/15/2011,North Waziristan,2011,6,33.010967,70.180664,Federally Administered Tribal Areas
Khardand,6/20/2011,Kurram,2011,13,33.527657,70.285034,Federally Administered Tribal Areas
Mantoi,6/27/2011,South Waziristan,2011,21,32.708733,69.559937,Federally Administered Tribal Areas
Bray Nishtar,6/27/2011,South Waziristan,2011,12,32.6272,69.4453,Federally Administered Tribal Areas
Mir Ali,7/5/2011,North Waziristan,2011,4,33.006935,70.239716,Federally Administered Tribal Areas
"Gorwick, Datta Khel Town, 45 km west of Miram Shah",7/11/2011,North Waziristan,2011,25,32.9052,69.7488,Federally Administered Tribal Areas
"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,",7/12/2011,South Waziristan,2011,13,32.6238,69.4968,Federally Administered Tribal Areas
"Bray Nishtar, Shawal area",7/12/2011,North Waziristan,2011,15,32.6138,69.5082,Federally Administered Tribal Areas
"Bray Nishtar, Shawal area",7/12/2011,North Waziristan,2011,8,32.6126,69.5078,Federally Administered Tribal Areas
Neway Adda Village,7/12/2011,North Waziristan,2011,1,32.9052,69.7488,Federally Administered Tribal Areas
"Azam Warsak, 12 miles west of Wana",8/1/2011,South Waziristan,2011,6,32.311508,69.418488,Federally Administered Tribal Areas
Miram Shah,8/2/2011,North Waziristan,2011,4,33.009815,70.098267,Federally Administered Tribal Areas
Miram Shah,8/10/2011,North Waziristan,2011,23,33.002907,70.094147,Federally Administered Tribal Areas
Miram Shah,8/16/2011,North Waziristan,2011,4,33.006359,70.067368,Federally Administered Tribal Areas
Shin Warsak,8/19/2011,South Waziristan,2011,4,32.280746,69.519424,Federally Administered Tribal Areas
"Norak, near Mir Ali",8/22/2011,North Waziristan,2011,11,32.963451,70.31044,Federally Administered Tribal Areas
"Hisokhel, near Mir Ali",9/11/2011,North Waziristan,2011,5,32.972382,70.289841,Federally Administered Tribal Areas
"Khushali area, near Mir Ali",9/23/2011,North Waziristan,2011,6,33.021332,70.305634,Federally Administered Tribal Areas
"Azam Warsak, 12 miles west of Wana",9/27/2011,South Waziristan,2011,4,32.327759,69.43634,Federally Administered Tribal Areas
Near Angor Adda and Afghan border,9/30/2011,South Waziristan,2011,4,32.509762,69.314117,Federally Administered Tribal Areas
"Angoor Adda, Bhangar area",10/13/2011,South Waziristan,2011,4,32.4825,69.2709,Federally Administered Tribal Areas
Close to Dande Darpa Khel,10/13/2011,North Waziristan,2011,6,32.998009,70.033211,Federally Administered Tribal Areas
Close to Miram Shah,10/14/2011,North Waziristan,2011,4,32.989372,70.058098,Federally Administered Tribal Areas
"Angoor Adda, Bhangar area",10/15/2011,South Waziristan,2011,6,32.460228,69.260246,Federally Administered Tribal Areas
Bobar,10/26/2011,North Waziristan,2011,13,33.1344,70.4512,Federally Administered Tribal Areas
"Azam Warsak, 12 miles west of Wana",10/27/2011,South Waziristan,2011,6,32.327763,69.436302,Federally Administered Tribal Areas
Mir Ali,10/27/2011,North Waziristan,2011,5,32.5808,70.1637,Federally Administered Tribal Areas
Datta Khel,10/30/2011,North Waziristan,2011,6,32.963783,70.240593,Federally Administered Tribal Areas
Mubarak Shan near Miranshah,10/31/2011,North Waziristan,2011,4,32.987213,70.084877,Federally Administered Tribal Areas
Darpa Khel Sarai,11/3/2011,North Waziristan,2011,3,32.5917,70.0317,Federally Administered Tribal Areas
Miranshah,11/15/2011,North Waziristan,2011,7,32.996284,70.074921,Federally Administered Tribal Areas
Babar Ghar,11/16/2011,South Waziristan,2011,22,32.3914,70.1126,Federally Administered Tribal Areas
Shawal,11/17/2011,North Waziristan,2011,7,32.3649,69.3029,Federally Administered Tribal Areas
Miranshah,1/10/2012,North Waziristan,2012,4,32.997147,70.046082,Federally Administered Tribal Areas
New Aadda (outside Miranshah),1/13/2012,North Waziristan,2012,8,32.976414,69.719238,Federally Administered Tribal Areas
Degan,1/23/2012,North Waziristan,2012,5,32.981022,69.785156,Federally Administered Tribal Areas
Spalga,2/8/2012,North Waziristan,2012,10,33.052414,70.19165,Federally Administered Tribal Areas
Miranshah,2/9/2012,North Waziristan,2012,8,33.001755,70.073547,Federally Administered Tribal Areas
Spalga,2/16/2012,North Waziristan,2012,6,33.043205,70.188904,Federally Administered Tribal Areas
Mir Ali,2/16/2012,North Waziristan,2012,15,33.017876,70.254822,Federally Administered Tribal Areas
Makin,3/9/2012,South Waziristan,2012,13,32.79882,69.507751,Federally Administered Tribal Areas
Nishpa,3/9/2012,South Waziristan,2012,6,31.840233,70.037842,Federally Administered Tribal Areas
Uthghalai,3/13/2012,South Waziristan,2012,7,32.583851,69.483032,Federally Administered Tribal Areas
Tehsil Bermal,3/13/2012,North Waziristan,2012,8,32.874973,69.614868,Federally Administered Tribal Areas
Miranshah,3/30/2012,North Waziristan,2012,4,33.031693,70.169678,Federally Administered Tribal Areas
Miranshah,4/29/2012,North Waziristan,2012,6,33.008663,70.197144,Federally Administered Tribal Areas
Shawal,5/5/2012,North Waziristan,2012,10,32.884201,69.598389,Federally Administered Tribal Areas
Datta Khel Kalai,5/23/2012,North Waziristan,2012,4,32.906685,69.754257,Federally Administered Tribal Areas
Mir Ali,5/24/2012,North Waziristan,2012,10,33.036297,70.268555,Federally Administered Tribal Areas
Miranshah,5/26/2012,North Waziristan,2012,4,32.981022,70.037842,Federally Administered Tribal Areas
Hassokhel (Hassu Khel),5/28/2012,North Waziristan,2012,4,32.5715,70.1548,Federally Administered Tribal Areas
Datta Khel,5/28/2012,North Waziristan,2012,8,32.5418,69.4455,Federally Administered Tribal Areas
Khawashi Khel,6/2/2012,South Waziristan,2012,4,32.280167,69.554443,Federally Administered Tribal Areas
Wacha Dana,6/3/2012,South Waziristan,2012,10,32.306866,69.446465,Federally Administered Tribal Areas
Hassokhel,6/4/2012,North Waziristan,2012,15,32.97411,70.279541,Federally Administered Tribal Areas
Isha,6/12/2012,North Waziristan,2012,4,33.004704,70.067268,Federally Administered Tribal Areas
Miranshah,6/14/2012,North Waziristan,2012,4,33.005211,70.069847,Federally Administered Tribal Areas
Shawal,6/26/2012,North Waziristan,2012,6,32.712776,69.608345,Federally Administered Tribal Areas
Dre Nishtar Village,7/1/2012,North Waziristan,2012,8,32.713356,69.608688,Federally Administered Tribal Areas
Datta Khel village,7/6/2012,North Waziristan,2012,21,32.906975,69.758377,Federally Administered Tribal Areas
Shawal,7/23/2012,North Waziristan,2012,14,32.715954,69.610062,Federally Administered Tribal Areas
Khushhali Turikhel,7/29/2012,North Waziristan,2012,7,33.005783,70.246178,Federally Administered Tribal Areas
Shwedar,8/18/2012,North Waziristan,2012,12,32.713356,69.608688,Federally Administered Tribal Areas
Mana,8/19/2012,North Waziristan,2012,7,32.713932,69.612122,Federally Administered Tribal Areas
Mana,8/19/2012,North Waziristan,2012,3,32.71162,69.609375,Federally Administered Tribal Areas
"Shanakhora, 12 miles west of Miram Shah",8/21/2012,North Waziristan,2012,9,33.010967,69.831848,Federally Administered Tribal Areas
Darray Nashtar,8/24/2012,North Waziristan,2012,6,32.71711,69.616043,Federally Administered Tribal Areas
Darray Nashtar,8/24/2012,North Waziristan,2012,6,32.71711,69.616043,Federally Administered Tribal Areas
Darray Nashtar,8/24/2012,North Waziristan,2012,6,32.71711,69.616043,Federally Administered Tribal Areas
Degan,9/1/2012,North Waziristan,2012,6,32.715668,69.452019,Federally Administered Tribal Areas
Datta Khel,9/22/2012,North Waziristan,2012,4,32.905102,69.752785,Federally Administered Tribal Areas
Datta Khel,9/24/2012,North Waziristan,2012,6,32.905102,69.752785,Federally Administered Tribal Areas
"Khaider Kel, Mir Ali",10/1/2012,North Waziristan,2012,3,32.948757,70.313774,Federally Administered Tribal Areas
"Hurmuz, east of Miranshah",10/10/2012,North Waziristan,2012,5,32.991604,70.165199,Federally Administered Tribal Areas
Bulandkhel,10/11/2012,Orakzai,2012,26,33.620338,70.750351,Federally Administered Tribal Areas
Tappi,10/24/2012,North Waziristan,2012,5,32.947029,70.146835,Federally Administered Tribal Areas
Sheen Warsak,11/29/2012,South Waziristan,2012,7,32.243587,69.510155,Federally Administered Tribal Areas
Sheen Warsak,12/1/2012,South Waziristan,2012,4,32.241844,69.512215,Federally Administered Tribal Areas
Mubarak Shahi,12/6/2012,North Waziristan,2012,3,32.954807,70.168304,Federally Administered Tribal Areas
Hisukhel,12/21/2012,North Waziristan,2012,4,32.962585,70.243149,Federally Administered Tribal Areas
Gurbuz,12/28/2012,North Waziristan,2012,4,32.713066,69.616074,Federally Administered Tribal Areas
Angoor Adda,1/2/2013,South Waziristan,2013,11,32.49007,69.320297,Federally Administered Tribal Areas
Between Miran Shah and Mir Ali,1/3/2013,North Waziristan,2013,6,32.98822,70.209503,Federally Administered Tribal Areas
Babar Ghar,1/6/2013,South Waziristan,2013,17,32.658455,70.179977,Federally Administered Tribal Areas
Mir Ali,1/8/2013,North Waziristan,2013,5,32.971191,70.277908,Federally Administered Tribal Areas
Essokhel,1/8/2013,North Waziristan,2013,3,32.953693,70.262802,Federally Administered Tribal Areas
Heso Khel,1/10/2013,North Waziristan,2013,5,32.953331,70.262459,Federally Administered Tribal Areas
Spin Wam,2/6/2013,North Waziristan,2013,5,33.168594,70.401077,Federally Administered Tribal Areas
Babar Ghar,2/8/2013,South Waziristan,2013,9,32.65065,70.185471,Federally Administered Tribal Areas
Muhammad Khel,3/10/2013,North Waziristan,2013,2,32.5725,69.5306,Federally Administered Tribal Areas
Datta Khel,3/22/2013,North Waziristan,2013,4,32.5418,69.4455,Federally Administered Tribal Areas
"Manzar Khel, Datta Khel",4/14/2013,North Waziristan,2013,4,32.90429877,69.74872109,Federally Administered Tribal Areas
Sararogha,4/17/2013,South Waziristan,2013,5,32.53805827,69.97741696,Federally Administered Tribal Areas
Miranshah,5/29/2013,North Waziristan,2013,7,33.00034982,70.06736752,Federally Administered Tribal Areas
Mangroti,6/7/2013,North Waziristan,2013,7,32.62555094,69.49607846,Federally Administered Tribal Areas
Sarai Darpa Khel,7/2/2013,North Waziristan,2013,18,33.00538611,70.07612225,Federally Administered Tribal Areas
"Mosaki Village, Mir Ali",7/13/2013,North Waziristan,2013,2,32.96453082,70.27301785,Federally Administered Tribal Areas
"Shinkai Narai, Shawal",7/28/2013,North Waziristan,2013,8,33.01575629,70.01943108,Federally Administered Tribal Areas
Mir Ali,8/31/2013,North Waziristan,2013,4,32.96549398,70.26512143,Federally Administered Tribal Areas
"Dargah Mandi, Ghulam Khan",9/6/2013,North Waziristan,2013,6,33.24281527,70.22186276,Federally Administered Tribal Areas
Shawal,9/22/2013,North Waziristan,2013,7,33.01620273,69.97398373,Federally Administered Tribal Areas
"Dargamandi, Miran Shah",9/29/2013,North Waziristan,2013,6,33.02912948,70.02822873,Federally Administered Tribal Areas
"Mohammad Khel, Datta Khel",9/30/2013,North Waziristan,2013,4,33.00120462,70.0399017,Federally Administered Tribal Areas
Miran Shah,10/31/2013,North Waziristan,2013,3,32.99196335,70.04814145,Federally Administered Tribal Areas
"Dande Darpa Khel, Miran Shah",11/1/2013,North Waziristan,2013,7,33.01711136,70.06818291,Federally Administered Tribal Areas
Miran Shah,11/29/2013,North Waziristan,2013,3,32.99505888,70.06530758,Federally Administered Tribal Areas
"Qutab Khel, Miran Shah",12/25/2013,North Waziristan,2013,4,32.9869239,70.06959912,Federally Administered Tribal Areas
Dargah Mandi,6/11/2014,North Waziristan,2014,6,32.97201981,70.07080075,Federally Administered Tribal Areas
Miramshah,6/12/2014,North Waziristan,2014,10,32.99736246,70.07629391,Balochistan
Dandey Darpakhel,6/18/2014,North Waziristan,2014,5,32.96049802,69.98016354,Federally Administered Tribal Areas
Datta Khel,7/10/2014,North Waziristan,2014,6,33.0792263,69.91836544,Federally Administered Tribal Areas
Datta Khel,7/16/2014,North Waziristan,2014,20,33.05949283,69.9176788,Federally Administered Tribal Areas
Datta Khel,7/19/2014,North Waziristan,2014,15,33.02613758,69.94514462,Federally Administered Tribal Areas
Datta Khel,8/6/2014,North Waziristan,2014,6,33.04090313,69.98428341,Federally Administered Tribal Areas
Datta Khel,9/24/2014,North Waziristan,2014,10,33.04090313,69.98291012,Federally Administered Tribal Areas
Wana,9/28/2014,South Waziristan,2014,4,32.31963357,69.57092282,Federally Administered Tribal Areas
Shawal,10/5/2014,South Waziristan,2014,5,32.99795289,69.90394589,Federally Administered Tribal Areas
Shawal,10/6/2014,North Waziristan,2014,8,32.09064163,69.45831295,Federally Administered Tribal Areas
Datta Khel,10/7/2014,North Waziristan,2014,7,32.94195895,69.803009,Federally Administered Tribal Areas
Datta Khel,10/7/2014,North Waziristan,2014,4,32.96385443,69.81948849,Federally Administered Tribal Areas
Datta Khel,10/9/2014,North Waziristan,2014,4,32.92426655,69.74395749,Federally Administered Tribal Areas
Shawal Tehsil,10/11/2014,North Waziristan,2014,4,32.78669718,69.71923825,Federally Administered Tribal Areas
Tirah Valley,10/11/2014,Khyber,2014,4,33.7805579,70.6656106,Federally Administered Tribal Areas
Wana,10/30/2014,South Waziristan,2014,7,32.26332983,69.45281979,Federally Administered Tribal Areas
Datta Khel,11/11/2014,North Waziristan,2014,6,32.90611606,69.74464413,Federally Administered Tribal Areas
Mada Khel,11/20/2014,North Waziristan,2014,6,32.90676122,69.75133892,Federally Administered Tribal Areas
Datta Khel,12/6/2014,North Waziristan,2014,6,32.96840141,69.8483276,Federally Administered Tribal Areas
Datta Khel,12/20/2014,North Waziristan,2014,5,32.94656185,69.81536862,Federally Administered Tribal Areas
Shawal Valley,12/26/2014,North Waziristan,2014,9,33.00005289,69.92935177,Federally Administered Tribal Areas
Datta Khel,1/4/2015,North Waziristan,2015,8,33.00178048,69.94239804,Federally Administered Tribal Areas
Tehsil Ladha,1/15/2015,South Waziristan,2015,6,31.88016221,69.30587765,Federally Administered Tribal Areas
"Shawal Valley, North Waziristan",1/29/2015,North Waziristan,2015,7,32.75205508,69.57916256,Federally Administered Tribal Areas
"Shawal Valley, North Waziristan",4/12/2015,Federally Administered Tribal Areas,2015,4,32.615148,69.51023,
Shawal,5/16/2015,North Waziristan,2015,5,32.614715,69.499587,
Shawal,5/18/2015,North Waziristan,2015,5,32.614715,69.499587,
Shawal,6/1/2015,North Waziristan,2015,4,32.6169196,69.4999301,
Shawal,6/6/2015,North Waziristan,2015,9,32.6169196,69.4999301,
Datta Khel,8/6/2015,North Waziristan,2015,7,32.905929,69.748292,
Datta Khel,9/1/2015,North Waziristan,2015,6,32.9056139,69.7482919,
Mangrooti,1/9/2016,North Waziristan,2016,5,32.704161,69.467315,
Shahidano Dhand,2/22/2016,Kurram,2016,4,33.6656971,70.6284736,
Dahl Bandin,5/21/2016,Balochistan,2016,2,28.948282,64.2718753,
"Sara Khwa, Kurram Agency",3/2/2017,South Waziristan,2017,2,32.2936111,70.1028113,Federally Administered Tribal Areas
Lawara Mandi,4/26/2017,North Waziristan,2017,11,33.1440818,70.0212442,Federally Administered Tribal Areas
Hangu district,6/12/2017,Khyber Punkhtunkhwa,2017,6,33.4271716,70.6062492,Khyber Pakhtunkhwa
Marghalan,7/3/2017,South Waziristan,2017,4,32.2399893,69.4364008,Federally Administered Tribal Areas
Ghuz Ghari,9/15/2017,Kurram Agency,2017,3,33.7006204,70.171567,Federally Administered Tribal Areas
Maqbal,10/16/2017,Kurram Agency,2017,20,33.6920485,70.0474217,Federally Administered Tribal Areas
Unclear,11/30/2017,Kurram Agency,2017,4,33.6905281,69.7671562,Federally Administered Tribal Areas
"Mata Sangar, near Ghuzgarhi",12/26/2017,Kurram Agency,2017,3,33.795036,69.9818372,Federally Administered Tribal Areas
Badshah Kot,1/17/2018,Kurram Agency,2018,0,33.4616987,70.3628775,Federally Administered Tribal Areas
Speen Thal Dapa Mamuzai,1/24/2018,Kurram Agency,2018,3,33.6901807,70.0272319,Federally Administered Tribal Areas
Gorwak,2/8/2018,North Waziristan,2018,7,32.8453688,69.4870511,Federally Administered Tribal Areas
Gorwak,2/8/2018,North Waziristan,2018,3,32.8453688,69.4870511,Federally Administered Tribal Areas
Tor Tangai,7/4/2018,North Waziristan,2018,2,33.15,70.4333,Federally Administered Tribal Areas
